chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,Lang
0.52414644,4559.464942,4170.364738,8540.095283,0.129893224,English
0.47805774,3113.731216,3206.955344,5529.60088,0.089625117,English
0.54093486,5348.589961,4665.234558,10220.94042,0.150900202,English
0.5071349,3854.212023,3853.972237,7337.886461,0.108230819,English
0.5045758,3454.013856,3274.748279,6058.868603,0.097267915,English
0.5007225,4382.19615,3998.226614,8179.892642,0.12502778,English
0.50709546,3509.102084,3447.823294,6232.226146,0.101072137,English
0.46296698,4510.755579,3911.024776,8256.346615,0.134917627,English
0.5084167,4966.270559,4347.163871,9333.970843,0.139663097,English
0.47531873,3585.303177,3476.464126,6404.684168,0.104085113,English
0.53367704,4859.383587,4531.172246,9610.5562,0.130369799,English
0.5490113,5995.882403,4961.349428,11412.23552,0.176854599,English
0.4890668,3906.850318,3742.655073,7140.891525,0.112731543,English
0.49605912,3484.229086,3598.459048,6413.079691,0.09719712,English
0.44841176,2992.274996,3108.557157,5259.744803,0.087881255,English
0.55444336,5582.014614,4736.508951,10603.37714,0.159080599,English
0.48387805,3788.129928,3740.650637,7051.938966,0.106197528,English
0.46974817,3340.091973,3599.648486,6457.40605,0.085867746,English
0.4932593,4253.747988,3913.294014,8000.333156,0.117877757,English
0.47697747,2996.074268,3135.843619,5351.995602,0.082796467,English
0.4367308,3130.503308,3291.833884,5772.021588,0.080915179,English
0.5717147,5719.292313,4947.470962,10965.70163,0.165729319,English
0.51040643,6217.200627,5417.91952,12303.2756,0.17308884,English
0.49063218,3625.422579,3657.264575,6941.048108,0.101914396,English
0.5519266,5436.270735,4714.997004,10481.25,0.156190257,English
0.52026635,5035.501504,4618.393015,9997.675173,0.140989944,English
0.48453447,3400.969556,3524.947367,6387.39339,0.092735957,English
0.51609015,3494.104186,3527.275895,6522.271455,0.095065965,English
0.47093195,3425.00297,3486.573379,6402.735208,0.097929021,English
0.51527786,4033.478491,3711.470465,7315.148587,0.117964169,English
0.4590378,3077.639418,3209.336925,5618.703358,0.084946362,English
0.53841776,5094.017416,4340.435889,9368.051471,0.145755974,English
0.44949195,3101.024901,3266.648299,5742.987074,0.080371718,English
0.534007,5289.550798,4559.989134,9984.543615,0.152908142,English
0.47082523,3489.722732,3295.815265,6271.155384,0.103545817,English
0.4942712,3655.326412,3429.833581,6447.111541,0.107583247,English
0.49639386,3443.412057,3404.452146,6217.983742,0.100378756,English
0.51503307,3558.758063,3513.506668,6483.492138,0.101241838,English
0.53454584,5368.648385,4725.948493,10379.50368,0.153668428,English
0.5262001,4754.820425,4450.657238,9335.548265,0.132802074,English
0.51453197,3981.095594,3627.323714,7126.249334,0.120257738,English
0.5427244,4005.326311,3885.904717,7572.561301,0.11368416,English
0.47207323,3589.71959,3452.127638,6477.745203,0.104788904,English
0.54745454,4951.9257,4380.743738,9329.393382,0.145753676,English
0.46535507,3039.749779,3340.465627,5648.487473,0.081248334,English
0.515781,5053.947068,4505.903398,9700.14795,0.143294196,English
0.48716787,4105.335063,3786.628545,7518.122874,0.116935055,English
0.48356885,3881.001104,3764.879177,7306.503198,0.106987732,English
0.49350226,3871.705271,3526.852559,6960.087953,0.112290112,English
0.5079776,4274.13349,3806.755097,7847.664579,0.125901602,English
0.48006895,3085.972365,3190.453735,5516.307969,0.085503357,English
0.48137563,3341.478689,3493.793279,6375.549707,0.088590252,English
0.46774775,3182.507205,3331.52278,5836.737074,0.085589769,English
0.5037908,3861.609094,3751.583748,7165.478412,0.107181378,English
0.4573132,3656.151933,3641.159814,6757.446029,0.09769373,English
0.5216487,4058.774835,3686.17119,7313.39952,0.117433202,English
0.49238834,3661.444115,3629.714348,6772.23814,0.098420426,English
0.48322344,3451.503382,3581.320377,6401.785714,0.090859875,English
0.5054706,3394.267915,3616.289253,6412.629931,0.091610516,English
0.5370603,4497.711477,4095.384419,8327.540391,0.1296813,English
0.5482914,5100.156231,4532.843691,9700.603606,0.14700489,English
0.46353707,3289.075416,3386.410779,6107.242804,0.086615264,English
0.4937804,4201.785704,3938.189913,7891.091418,0.118615905,English
0.4853485,3465.845485,3623.148225,6486.740405,0.094373626,English
0.5311225,4572.248713,4058.048601,8583.539134,0.136773663,English
0.46661812,3118.77605,3167.8092,5641.141391,0.089443963,English
0.48096904,3786.129771,3572.396889,6912.163513,0.108029884,English
0.4348994,3767.559487,3682.168957,7129.747468,0.09787176,English
0.52375305,4893.08779,4395.242614,9375.165441,0.140110294,English
0.48669478,2752.944692,3086.868266,5056.203358,0.071571204,English
0.535576,4979.950467,4307.501152,9299.260496,0.147606304,English
0.4781869,3611.269297,3537.69015,6675.739606,0.099045093,English
0.47931153,3858.354023,3552.768719,6915.011994,0.113514459,English
0.4563671,3721.306907,3351.417546,6510.227878,0.110868995,English
0.5014878,4294.649321,3862.095399,7961.491935,0.127794229,English
0.5416531,4274.418753,4068.404774,7947.954137,0.11892283,English
0.54108745,5220.96561,4685.173974,10213.31522,0.141719033,English
0.49059343,3535.485554,3443.729884,6309.185101,0.102032041,English
0.5598484,6171.978575,5256.100528,12111.00618,0.171624599,English
0.5221863,4828.96325,4238.386498,9075.114839,0.139921397,English
