chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,Lang
0.3893519,3975.922904,3659.667276,7511.740502,0.116093116,Hindi
0.54601115,2361.050401,2876.888466,4680.786304,0.051014578,Hindi
0.41552842,4391.437953,3897.84869,8700.563166,0.130040286,Hindi
0.54712045,2698.703641,3080.323585,5361.817772,0.062692353,Hindi
0.44318518,5512.535982,4991.518674,11595.15525,0.151665141,Hindi
0.37451607,3214.991641,3528.470667,6513.466943,0.076445814,Hindi
0.39050424,4833.544545,3807.935878,9295.503212,0.145460762,Hindi
0.4149397,3913.497238,3893.219536,7756.47058,0.097441133,Hindi
0.3842113,4061.552535,3979.35995,8276.599304,0.107783642,Hindi
0.5064195,2099.718224,2653.223417,4218.759177,0.042562038,Hindi
0,0,0,0,0,Hindi
0.38185158,4417.456831,4111.101145,9247.423715,0.120039815,Hindi
0.37315783,2893.267835,3484.861479,6024.578644,0.058909027,Hindi
0.429192,4117.541702,3798.926366,7823.996928,0.129069388,Hindi
0.39560017,3629.169044,3680.339093,6998.327088,0.090162649,Hindi
0.48205534,1783.05595,2296.814078,3374.338259,0.038174716,Hindi
0.4759391,2530.616965,2520.102908,4711.555193,0.0717671,Hindi
0.37829185,3097.658667,3671.896641,6582.615262,0.071037558,Hindi
0.40403956,4300.776289,3997.028043,9000.276579,0.1236706,Hindi
0.5452143,2254.513717,2875.320859,4665.760495,0.045228892,Hindi
0.37621835,3954.469437,3847.584359,8185.564888,0.101162585,Hindi
0.3780697,4466.863135,3788.852157,8810.241569,0.126510849,Hindi
0.35766506,3660.501878,3668.023494,7517.890458,0.086985899,Hindi
0.3725379,4391.929225,3911.102928,8850.079957,0.123099972,Hindi
0.4125772,3294.208541,3889.532585,7277.42328,0.067058802,Hindi
0.39717394,3730.879631,3898.886121,7919.37253,0.089783706,Hindi
0.35241765,3402.592075,3389.137847,6416.527852,0.090121727,Hindi
0.40228274,4485.360431,4213.648433,9698.758699,0.112244044,Hindi
0.38080645,3543.52044,3611.307293,7087.270123,0.088281042,Hindi
0.3573809,3776.080264,3345.694982,6959.03038,0.101471535,Hindi
0.40729034,4365.572776,3753.495774,8473.13303,0.126746102,Hindi
0.35698885,3841.836183,3947.291417,8226.010439,0.08725701,Hindi
0.5057934,2173.562688,2539.760676,4153.060425,0.049961028,Hindi
0.37146553,3871.052854,3777.545745,7918.462259,0.095476236,Hindi
0.50054127,1935.083317,2552.411595,3894.711948,0.036326539,Hindi
0.41659752,4519.561341,4072.901877,8893.312813,0.135300355,Hindi
0.36218724,3869.949987,3860.035455,8285.63303,0.100677948,Hindi
0.39902267,3655.474837,3553.178332,7160.080969,0.099305114,Hindi
0.44329122,3120.134677,3754.612816,6465.556573,0.068945086,Hindi
0.38445038,3581.397108,3175.192418,6512.061697,0.101337702,Hindi
0.41598967,3338.720325,3716.639685,7168.658122,0.083378272,Hindi
0.3850079,3055.232764,3514.047009,6319.320643,0.068824998,Hindi
0.35566515,3026.740584,3592.05671,6081.749549,0.072895041,Hindi
0.37842196,3638.337702,3919.122241,7869.15599,0.083854622,Hindi
0.36003855,3419.852686,3582.232183,7043.143657,0.078473772,Hindi
0.35693738,3208.87022,3454.176346,6378.797326,0.079881219,Hindi
0.48462465,2087.61814,2329.526341,3689.472044,0.056530733,Hindi
0.36856598,3261.617776,3469.923767,6530.533627,0.084629726,Hindi
0.37897512,4745.437766,3998.09067,9418.626732,0.132703183,Hindi
0.5089856,2305.934793,2794.107118,4541.957068,0.053645229,Hindi
0.3895611,4283.770958,3800.085908,8123.226713,0.124485579,Hindi
0.37658113,3755.419343,3789.135439,7632.290756,0.087871276,Hindi
0.39441282,3179.95295,3777.395519,6914.21242,0.066763351,Hindi
0.3898092,4117.228948,3902.684516,8563.06879,0.109817276,Hindi
0.38544983,3036.130094,3615.616364,6381.624732,0.065853143,Hindi
0.49990568,2352.216419,2834.367453,4767.320668,0.052463487,Hindi
0.5074267,1905.008295,2387.444363,3687.347711,0.040591082,Hindi
0.49953794,2156.762482,2486.696531,4185.171274,0.047894814,Hindi
0.36121735,3382.471614,3306.419662,6231.026347,0.092845143,Hindi
0,0,0,0,0,Hindi
0.3992206,4069.634034,4047.721383,8420.509062,0.098521414,Hindi
0.41502193,4672.725367,3929.744292,8902.202159,0.136048274,Hindi
0.43806246,5751.590077,4319.312897,10835.12127,0.174502765,Hindi
0.5225486,2041.075831,2498.828669,3839.485563,0.044543998,Hindi
0.364047,2778.469401,3343.798442,5461.653532,0.063137383,Hindi
0.35595068,4099.173253,3939.732351,8680.958913,0.097070731,Hindi
0.40830037,4541.374053,3928.081463,8802.311965,0.136787758,Hindi
0.48841745,2214.720882,2420.579271,4180.453043,0.054852537,Hindi
0.5178573,2343.892713,2719.579432,4693.588788,0.052106747,Hindi
0.5139738,1867.621853,2345.686179,3632.937473,0.041027007,Hindi
0.3991317,4966.200096,4042.721293,9775.244245,0.137292768,Hindi
0.40935442,3942.775108,3564.572787,7618.08702,0.112200576,Hindi
0.5065774,2231.487839,2489.730964,4153.659957,0.056818491,Hindi
0.40427575,4547.937414,3843.574498,8580.935493,0.132654619,Hindi
0.3933295,4616.590418,4210.118575,9687.466542,0.122979959,Hindi
0.37257123,3659.623759,3807.149926,7390.205351,0.082748306,Hindi
