chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,Lang
0.40524584,2867.734039,3340.086315,5738.12179,0.062753815,Marathi
0.3769963,1551.489789,1979.065912,2868.157789,0.030850592,Marathi
0.400541,2201.787523,3056.739717,4364.213082,0.043323864,Marathi
0.443088,2683.955747,2973.609306,5167.943763,0.075864747,Marathi
0.42071277,1973.270213,2758.788886,3505.265734,0.043348273,Marathi
0.42156088,1388.382989,2103.800983,2558.050054,0.02637137,Marathi
0.596566,1175.088188,1619.892402,2255.52061,0.022939809,Marathi
0.44490474,1669.436555,2363.702817,3378.748001,0.026832564,Marathi
0.48431772,2342.559413,2825.392891,4878.399872,0.042449738,Marathi
0.43510655,1912.943069,2881.135087,3620.575787,0.038224152,Marathi
0.4782083,2826.076802,3510.352837,6427.295236,0.027958545,Marathi
0.47685966,2394.257424,3182.75352,5141.907649,0.025878906,Marathi
0.35908732,1422.696515,1788.810501,2589.768469,0.029224731,Marathi
0.3540165,2426.593811,3311.454163,5138.454709,0.037812773,Marathi
0.44914535,1844.815689,2508.260651,3932.946692,0.033285074,Marathi
0.44639698,1839.856429,2467.003889,3812.416711,0.029513426,Marathi
0.4750297,2203.34396,2956.527325,4213.129302,0.049095598,Marathi
0.52179885,1642.087398,1987.157229,3129.081906,0.040491794,Marathi
0.3813736,2543.75294,3197.012961,5033.198003,0.05488213,Marathi
0.48160815,1769.932747,2647.014629,3352.16218,0.032241138,Marathi
0.37095234,1313.750812,1721.420764,2313.035332,0.026446651,Marathi
0.4424372,2509.423269,3284.511862,5038.769531,0.055219032,Marathi
0.31806624,2047.806829,2206.478538,4245.985474,0.051894198,Marathi
0.55067766,1118.451316,1608.25207,2160.314856,0.021366553,Marathi
0.4716167,2202.00621,2938.42418,4530.062232,0.034045855,Marathi
0.37715146,2358.532899,3373.325485,4953.891567,0.043566297,Marathi
0.42225966,1942.390238,2830.103226,3594.782783,0.040156708,Marathi
0.54984725,851.4422134,1389.100611,1648.720567,0.013692362,Marathi
0.48539603,2125.045079,3192.736976,4306.340859,0.039029646,Marathi
0.44710258,1616.445743,2120.577205,3226.918638,0.032273228,Marathi
0.36645666,2638.774466,3223.948419,5120.905461,0.054400876,Marathi
0.50676197,2672.823397,3450.759422,5926.575883,0.02930524,Marathi
0.45002365,1830.233238,2551.161251,4007.661938,0.016125828,Marathi
0.42206258,2929.942439,3099.029502,5565.681636,0.079898013,Marathi
